trip_id,date,store,item_id,item_name,category,qty,unit_price,price_per_lb,lbs,price_is_estimate,line_total,is_sample
s12Walmart,2026-06-23,Walmart,e1,Fiber gummies,Household,1,12.82,,,true,12.82,true
s12Walmart,2026-06-23,Walmart,e4,Dish soap,Household,1,5.28,,,true,5.28,true
s12Walmart,2026-06-23,Walmart,e5,Oat milk,Dairy,1,5.2,,,true,5.2,true
s12Walmart,2026-06-23,Walmart,e6,Low-fat cream cheese,Dairy,1,3.03,,,true,3.03,true
s12Walmart,2026-06-23,Walmart,e11,Green beans,Produce,1,2.58,,,true,2.58,true
s12Walmart,2026-06-23,Walmart,e12,Green onions,Produce,1,1.01,,,true,1.01,true
s12Walmart,2026-06-23,Walmart,e16,Asparagus,Produce,1,3.45,,,true,3.45,true
s12Walmart,2026-06-23,Walmart,e17,Cuties (3 lb bag),Produce,1,5.45,,,true,5.45,true
s12Walmart,2026-06-23,Walmart,e18,Bananas,Produce,1,1.57,,,true,1.57,true
s12Walmart,2026-06-23,Walmart,e19,Cucumber,Produce,1,0.78,,,true,0.78,true
s12Walmart,2026-06-23,Walmart,e20,Brussels sprouts,Produce,1,3.06,,,true,3.06,true
s12Walmart,2026-06-23,Walmart,e25,Corn,Produce,1,1.99,,,true,1.99,true
s12Walmart,2026-06-23,Walmart,e27,Chicken tenders or nuggets,Frozen,1,9.55,,,true,9.55,true
s12Walmart,2026-06-23,Walmart,e32,Instant coffee,Pantry staples,1,8.09,,,true,8.09,true
s12Walmart,2026-06-23,Walmart,e33,Canned pineapple or pineapple juice,Pantry staples,1,1.62,,,true,1.62,true
s12Walmart,2026-06-23,Walmart,e34,Vegan refried beans,Pantry staples,1,1.98,,,true,1.98,true
s12Costco,2026-06-24,Costco,870735,Kirkland adult multivitamin,Household,1,12.05,,,false,12.05,true
s12Costco,2026-06-24,Costco,1048072,Kirkland low-fat Greek yogurt tub,Dairy,1,7.22,,,false,7.22,true
s12Costco,2026-06-24,Costco,1068083,Organic free-range eggs,Dairy,1,7.92,,,false,7.92,true
s12Costco,2026-06-24,Costco,18010,Lamb rib rack (lamb chops),Proteins,1,29.61,16.99,1.8,false,29.61,true
s12Costco,2026-06-24,Costco,22967,Organic boneless skinless chicken thighs,Proteins,2,30.8,5.99,5,false,61.61,true
s12Costco,2026-06-24,Costco,96716,Organic spinach,Produce,1,4.68,,,false,4.68,true
s12Costco,2026-06-24,Costco,21020,Tomatoes on the vine,Produce,1,7.35,,,false,7.35,true
s12Costco,2026-06-24,Costco,1285362,Kirkland guacamole single cups,Produce,1,14.07,,,false,14.07,true
s12Costco,2026-06-24,Costco,669434,Cape Cod reduced fat chips,Carbs,1,7.6,,,false,7.6,true
s11Walmart,2026-06-30,Walmart,e2,Candles,Household,1,5.02,,,true,5.02,true
s11Walmart,2026-06-30,Walmart,e4,Dish soap,Household,1,4.91,,,true,4.91,true
s11Walmart,2026-06-30,Walmart,e8,Cottage cheese,Dairy,1,3.98,,,true,3.98,true
s11Walmart,2026-06-30,Walmart,e13,Lettuce,Produce,1,2.91,,,true,2.91,true
s11Walmart,2026-06-30,Walmart,e20,Brussels sprouts,Produce,1,2.96,,,true,2.96,true
s11Walmart,2026-06-30,Walmart,e21,Limes,Produce,1,3.08,,,true,3.08,true
s11Walmart,2026-06-30,Walmart,e22,Avocados (bag),Produce,1,4.23,,,true,4.23,true
s11Walmart,2026-06-30,Walmart,e23,Red onions,Produce,1,2.83,,,true,2.83,true
s11Walmart,2026-06-30,Walmart,e26,Asian pear,Produce,1,1.51,,,true,1.51,true
s11Walmart,2026-06-30,Walmart,e29,Pickles,Pantry staples,1,3.12,,,true,3.12,true
s11Walmart,2026-06-30,Walmart,e31,Jalapeños,Pantry staples,1,2,,,true,2,true
s11Walmart,2026-06-30,Walmart,e32,Instant coffee,Pantry staples,1,7.71,,,true,7.71,true
s11Walmart,2026-06-30,Walmart,e34,Vegan refried beans,Pantry staples,1,1.97,,,true,1.97,true
s10Walmart,2026-07-07,Walmart,e2,Candles,Household,1,4.83,,,true,4.83,true
s10Walmart,2026-07-07,Walmart,e3,Sponges,Household,1,6.21,,,true,6.21,true
s10Walmart,2026-07-07,Walmart,e5,Oat milk,Dairy,1,4.98,,,true,4.98,true
s10Walmart,2026-07-07,Walmart,e6,Low-fat cream cheese,Dairy,1,2.83,,,true,2.83,true
s10Walmart,2026-07-07,Walmart,e7,Low-fat sour cream,Dairy,1,2.46,,,true,2.46,true
s10Walmart,2026-07-07,Walmart,e8,Cottage cheese,Dairy,1,4.04,,,true,4.04,true
s10Walmart,2026-07-07,Walmart,e11,Green beans,Produce,1,2.41,,,true,2.41,true
s10Walmart,2026-07-07,Walmart,e12,Green onions,Produce,1,1.04,,,true,1.04,true
s10Walmart,2026-07-07,Walmart,e14,Salsa,Produce,1,3.68,,,true,3.68,true
s10Walmart,2026-07-07,Walmart,e18,Bananas,Produce,1,1.71,,,true,1.71,true
s10Walmart,2026-07-07,Walmart,e19,Cucumber,Produce,1,0.82,,,true,0.82,true
s10Walmart,2026-07-07,Walmart,e20,Brussels sprouts,Produce,1,2.91,,,true,2.91,true
s10Walmart,2026-07-07,Walmart,e21,Limes,Produce,1,3.01,,,true,3.01,true
s10Walmart,2026-07-07,Walmart,e22,Avocados (bag),Produce,1,3.87,,,true,3.87,true
s10Walmart,2026-07-07,Walmart,e28,Fries,Frozen,1,5.25,,,true,5.25,true
s10Walmart,2026-07-07,Walmart,e29,Pickles,Pantry staples,1,3.12,,,true,3.12,true
s10Walmart,2026-07-07,Walmart,e30,Yellow chili peppers,Pantry staples,1,2.64,,,true,2.64,true
s10Walmart,2026-07-07,Walmart,e31,Jalapeños,Pantry staples,1,1.96,,,true,1.96,true
s10Walmart,2026-07-07,Walmart,e32,Instant coffee,Pantry staples,1,8.19,,,true,8.19,true
s10Walmart,2026-07-07,Walmart,e33,Canned pineapple or pineapple juice,Pantry staples,1,1.73,,,true,1.73,true
s10Walmart,2026-07-07,Walmart,e34,Vegan refried beans,Pantry staples,1,2.09,,,true,2.09,true
s10Costco,2026-07-08,Costco,427381,Kirkland organic eggs,Dairy,1,8.04,,,false,8.04,true
s10Costco,2026-07-08,Costco,1068083,Organic free-range eggs,Dairy,1,8.53,,,false,8.53,true
s10Costco,2026-07-08,Costco,26802,Crumbled feta,Dairy,1,7.23,,,false,7.23,true
