trip_id,date,store,item_count,est_total,actual_total,is_sample
s12Walmart,2026-06-23,Walmart,16,67.46,69.91,true
s12Costco,2026-06-24,Costco,10,152.11,154.89,true
s11Walmart,2026-06-30,Walmart,13,46.23,47.17,true
s10Walmart,2026-07-07,Walmart,21,69.78,71.16,true
s10Costco,2026-07-08,Costco,9,114.37,121.06,true
s9Walmart,2026-07-14,Walmart,14,60.16,63.38,true
s8Walmart,2026-07-21,Walmart,15,46.23,48.06,true
s8Costco,2026-07-22,Costco,12,142.47,147.19,true
s7Walmart,2026-07-28,Walmart,14,50.03,53.18,true
s6Walmart,2026-08-04,Walmart,16,78.67,82.28,true
s6Costco,2026-08-05,Costco,7,101.51,109.2,true
s5Walmart,2026-08-11,Walmart,17,76.64,78.93,true
s4Walmart,2026-08-18,Walmart,13,57.13,58.22,true
s4Costco,2026-08-19,Costco,13,193.32,202.24,true
s3Walmart,2026-08-25,Walmart,12,44.64,47.27,true
s2Walmart,2026-09-01,Walmart,13,60.67,61.51,true
s2Costco,2026-09-02,Costco,11,101.73,106.55,true
s1Walmart,2026-09-08,Walmart,19,73.35,76.85,true
